category,foods,source_type,kcal/100gr,Crude Protein (gr) ,Arginine (gr),Histidine (gr),Isoleucine (gr),Methionine (gr),Methionine + Cystine (gr),Leucine (gr),Lysine (gr),Phenylalanine (gr),Phenylalanine & Tyrosine (gr),Threonine (gr),Tryptophan (gr),Valine (gr),Glutamic Acid (gr),Taurine (gr),Total Fat (gr),Linoleic Acid n-6 (gr),a-Linolenic Acid n-3 (gr),Linoleic Acid / a-Linolenic Acid,Arachidonic Acid (gr),Eicosapentaenoic & Docosahexaenoic n-3 (gr),EPA / DPA,Calcium (gr),Phosphorus (gr),Magnesium (mg),Sodium (mg),Potassium (gr),Chloride (mg),Iron (mg),Copper (mg),Zinc (mg),Manganese (mg),Selenium (mcg),Iodine (mcg),Vitamin A (RE) (mcg of all trans-retinol),Vitamin A (UI),Cholecalciferol (Vit D) (mcg),Vitamin D3 (IU),Vitamin E (a-tocopherol) (mg=IU),Vitamin K (Menadion) (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Pyridoxine (B6) (mg),Niacin (B3) (mg),Pantothenic Acid (B5) (mg),Cobalamin (B12) (mcg),Folic Acid (B9) (mcg),Biotin (B7) (mg),Choline (B4) (mg),Glucose (gr),Sucrose (gr),Lactose (gr),Cellulose (gr),TDF (gr),Cystine (gr),Tyrosine (gr),DM%,Moisture%,Ash (gr)
ماهی و دریایی,ماهی کفال پخته,home,150,23.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,6.0,0.2,0.1,2.0,0.1,0.4,,40,220,30,70,380,100,0.8,0.1,0.7,0.03,40.0,15,26.666666666666668,80,2.0,80,1.0,0.001,0.1,0.12,0.3,5.0,1.0,2.5,12,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,69,31,1.2
ماهی و دریایی,ماهی کیلکا پخته,home,150,20.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,7.0,0.2,0.1,2.0,0.1,0.4,,50,250,30,100,300,100,1.0,0.1,1.0,0.03,40.0,15,16.666666666666668,50,2.0,80,1.0,0.001,0.05,0.15,0.2,4.0,1.0,5.0,10,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,70,30,1.5
ماهی و دریایی,میگو پخته,home,99,24.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,0.3,0.2,0.1,2.0,0.1,0.4,,70,250,40,150,200,100,0.5,0.1,1.5,0.03,40.0,30,0.0,0,2.0,80,1.0,0.001,0.02,0.03,0.1,2.0,1.0,1.5,5,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,74,26,1.7
تخم مرغ,تخم مرغ کامل پخته,home,155,12.6,0.8,0.3,0.7,0.4,0.7,1.1,0.9,0.7,1.2,0.6,0.2,0.8,,0.0,10.6,1.5,0.05,30.0,0.15,0.05,,50,172,10,124,126,150,1.2,0.1,1.1,0.03,30.0,25,180.0,540,2.0,80,1.0,0.0003,0.04,0.48,0.12,0.1,1.5,1.1,44,20,150,0.3,0.0,0.0,0.0,0.0,0.3,0.5,76,24,1.1
تخم مرغ,زرده تخم مرغ پخته,home,322,15.9,0.8,0.3,0.7,0.4,0.7,1.1,0.9,0.7,1.2,0.6,0.2,0.8,,0.0,26.5,1.5,0.05,30.0,0.15,0.05,,129,390,5,48,109,150,2.7,0.1,2.3,0.03,30.0,25,480.6666666666667,1442,2.0,80,1.0,0.0003,0.18,0.53,0.35,0.0,1.5,3.1,146,20,250,0.3,0.0,0.0,0.0,0.0,0.3,0.5,52,48,1.7
تخم مرغ,سفیده تخم مرغ پخته,home,52,10.9,0.8,0.3,0.7,0.4,0.7,1.1,0.9,0.7,1.2,0.6,0.2,0.8,,0.0,0.2,0.0,0.05,0.0,0.0,0.05,,7,15,11,166,163,150,0.1,0.1,0.0,0.03,30.0,25,0.0,0,2.0,80,1.0,0.0003,0.0,0.44,0.0,0.1,1.5,0.1,4,20,150,0.3,0.0,0.0,0.0,0.0,0.3,0.5,88,12,0.6
لبنیات,شیر کامل,home,61,3.2,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,3.3,0.1,0.05,2.0,0.02,0.0,,113,84,10,43,132,100,0.0,0.02,0.4,0.01,3.0,20,54.0,162,1.0,40,0.1,0.001,0.05,0.17,0.04,0.1,0.4,0.5,5,3,15,0.0,0.0,4.5,0.0,0.0,0.03,0.15,88,12,0.7
لبنیات,شیر کم چرب ۱ درصد,home,42,3.4,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,1.0,0.1,0.05,2.0,0.02,0.0,,125,95,11,44,150,100,0.0,0.02,0.4,0.01,3.0,20,65.33333333333333,196,0.5,20,0.1,0.001,0.04,0.19,0.04,0.1,0.4,0.5,5,3,15,0.0,0.0,4.5,0.0,0.0,0.03,0.15,90,10,0.8
لبنیات,ماست ساده پرچرب,home,61,3.5,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,3.3,0.1,0.05,2.0,0.02,0.0,,121,95,12,46,155,100,0.1,0.02,0.6,0.01,3.0,20,33.0,99,1.0,40,0.1,0.001,0.03,0.14,0.03,0.1,0.4,0.4,7,3,15,0.0,0.0,4.5,0.0,0.0,0.03,0.15,88,12,0.7
لبنیات,ماست ساده کم چرب,home,63,5.3,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,1.6,0.1,0.05,2.0,0.02,0.0,,183,144,17,70,234,100,0.1,0.02,0.9,0.01,3.0,20,17.0,51,0.5,20,0.1,0.001,0.04,0.21,0.05,0.1,0.4,0.6,11,3,15,0.0,0.0,4.5,0.0,0.0,0.03,0.15,85,15,0.9
لبنیات,ماست یونانی پرچرب,home,97,9.0,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,5.0,0.1,0.05,2.0,0.02,0.0,,100,120,11,36,140,100,0.1,0.02,0.5,0.01,3.0,20,16.666666666666668,50,1.0,40,0.1,0.001,0.03,0.2,0.05,0.2,0.4,0.5,10,3,15,0.0,0.0,4.5,0.0,0.0,0.03,0.15,81,19,0.8
لبنیات,پنیر ریکوتا کم چرب,home,138,11.4,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,8.0,0.1,0.05,2.0,0.02,0.0,,200,150,12,80,100,100,0.2,0.02,0.8,0.01,3.0,20,100.0,300,0.5,20,0.1,0.001,0.02,0.2,0.05,0.2,0.4,0.4,15,3,15,0.0,0.0,1.0,0.0,0.0,0.03,0.15,75,25,1.0
لبنیات,پنیر کاتج کم چرب,home,72,12.4,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,1.0,0.1,0.05,2.0,0.02,0.0,,61,134,6,315,86,100,0.1,0.02,0.4,0.01,3.0,20,12.333333333333334,37,0.5,20,0.1,0.001,0.02,0.16,0.06,0.1,0.4,0.5,12,3,15,0.0,0.0,1.0,0.0,0.0,0.03,0.15,81,19,1.4
غلات,ارزن پخته,home,119,3.5,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,1.0,0.5,0.05,10.0,0.0,0.0,,3,100,44,2,62,5,0.6,0.2,0.9,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.1,0.08,0.11,1.3,0.5,0.0,19,2,20,0.1,0.2,0.0,1.0,1.3,0.08,0.1,71,29,0.7
غلات,برنج باسماتی پخته,home,121,2.9,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,0.4,0.5,0.05,10.0,0.0,0.0,,8,40,10,1,30,5,0.2,0.2,0.4,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.02,0.01,0.04,0.4,0.5,0.0,3,2,20,0.1,0.2,0.0,1.0,0.5,0.08,0.1,70,30,0.3
غلات,برنج سفید پخته,home,130,2.7,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,0.3,0.5,0.05,10.0,0.0,0.0,,10,43,12,1,35,5,0.2,0.2,0.5,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.02,0.01,0.05,0.4,0.5,0.0,3,2,20,0.1,0.2,0.0,1.0,0.4,0.08,0.1,68,32,0.3
غلات,برنج قهوه‌ای پخته,home,123,2.7,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,1.0,0.5,0.05,10.0,0.0,0.0,,10,83,43,5,86,5,0.4,0.2,0.6,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.1,0.01,0.12,1.5,0.5,0.0,4,2,20,0.1,0.2,0.0,1.0,1.6,0.08,0.1,70,30,0.6
غلات,بلغور پخته,home,83,3.1,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,0.2,0.5,0.05,10.0,0.0,0.0,,10,40,32,5,68,5,1.0,0.2,0.6,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.05,0.03,0.08,1.0,0.5,0.0,18,2,20,0.1,0.2,0.0,1.0,4.5,0.08,0.1,78,22,0.6
غلات,جو دوسر پخته,home,71,2.5,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,1.5,0.5,0.05,10.0,0.0,0.0,,9,77,27,4,70,5,0.9,0.2,1.0,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.08,0.02,0.02,0.1,0.5,0.0,6,2,20,0.1,0.2,0.0,1.0,1.7,0.08,0.1,84,16,0.5
غلات,جو دوسر پرک خام,home,389,16.9,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,6.9,0.5,0.05,10.0,0.0,0.0,,54,523,177,2,429,5,4.7,0.2,4.0,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.76,0.14,0.12,1.0,0.5,0.0,56,2,20,0.1,0.2,0.0,1.0,10.6,0.08,0.1,8,92,1.7
غلات,جو پخته,home,123,2.3,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,0.4,0.5,0.05,10.0,0.0,0.0,,11,54,22,3,93,5,1.3,0.2,0.8,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.08,0.06,0.12,2.1,0.5,0.0,16,2,20,0.1,0.2,0.0,1.0,3.8,0.08,0.1,69,31,0.5
غلات,ذرت پخته,home,96,3.4,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,1.5,0.5,0.05,10.0,0.0,0.0,,2,89,26,1,218,5,0.5,0.2,0.5,1.0,10.0,1,3.3333333333333335,10,0.0,0,0.5,0.001,0.15,0.06,0.09,1.7,0.5,0.0,36,2,20,0.1,0.2,0.0,1.0,2.4,0.08,0.1,73,27,0.7
غلات,پاستا پخته,home,158,5.8,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,0.9,0.5,0.05,10.0,0.0,0.0,,7,58,18,1,44,5,0.5,0.2,0.5,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.02,0.02,0.05,0.4,0.5,0.0,7,2,20,0.1,0.2,0.0,1.0,1.8,0.08,0.1,62,38,0.3
غلات,کینوا پخته,home,120,4.4,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,1.9,0.5,0.05,10.0,0.0,0.0,,17,152,64,7,172,5,1.5,0.2,1.1,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.11,0.11,0.12,0.4,0.5,0.0,42,2,20,0.1,0.2,0.0,1.0,2.8,0.08,0.1,72,28,0.8
غلات,گندم سیاه پخته,home,92,3.4,0.2,0.1,0.15,0.08,0.16,0.3,0.15,0.2,0.30000000000000004,0.12,0.05,0.2,,0.0,0.6,0.5,0.05,10.0,0.0,0.0,,7,70,50,4,88,5,0.8,0.2,0.6,1.0,10.0,1,0.0,0,0.0,0,0.5,0.001,0.04,0.04,0.08,0.9,0.5,0.0,14,2,20,0.1,0.2,0.0,1.0,2.7,0.08,0.1,75,25,0.8
حبوبات,عدس پخته,home,116,9.0,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.4,0.3,0.1,2.9999999999999996,0.0,0.0,,19,180,36,2,369,5,3.3,0.3,1.3,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.17,0.07,0.18,1.1,0.3,0.0,181,2,30,0.2,1.0,0.0,3.0,7.9,0.1,0.3,70,30,1.0
حبوبات,لوبیا سفید پخته,home,139,9.7,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.5,0.3,0.1,2.9999999999999996,0.0,0.0,,90,150,50,2,350,5,3.0,0.3,1.0,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.15,0.06,0.12,0.5,0.3,0.0,100,2,30,0.2,1.0,0.0,3.0,6.3,0.1,0.3,63,37,1.3
حبوبات,لوبیا سیاه پخته,home,132,8.9,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.5,0.3,0.1,2.9999999999999996,0.0,0.0,,27,140,70,1,355,5,2.1,0.3,1.1,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.24,0.06,0.12,0.5,0.3,0.0,149,2,30,0.2,1.0,0.0,3.0,8.7,0.1,0.3,66,34,1.2
حبوبات,لوبیا قرمز پخته,home,127,8.7,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.5,0.3,0.1,2.9999999999999996,0.0,0.0,,28,142,45,2,403,5,2.9,0.3,1.0,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.16,0.06,0.12,0.6,0.3,0.0,130,2,30,0.2,1.0,0.0,3.0,6.4,0.1,0.3,67,33,1.2
حبوبات,لوبیا چشم بلبلی پخته,home,116,7.7,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.5,0.3,0.1,2.9999999999999996,0.0,0.0,,24,156,53,4,278,5,2.5,0.3,1.3,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.2,0.05,0.1,0.5,0.3,0.0,127,2,30,0.2,1.0,0.0,3.0,6.5,0.1,0.3,70,30,1.0
حبوبات,لوبیا چیتی پخته,home,143,9.0,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.7,0.3,0.1,2.9999999999999996,0.0,0.0,,50,150,50,2,400,5,2.5,0.3,1.0,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.2,0.06,0.15,0.5,0.3,0.0,100,2,30,0.2,1.0,0.0,3.0,9.0,0.1,0.3,65,35,1.2
حبوبات,ماش پخته,home,105,7.0,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.4,0.3,0.1,2.9999999999999996,0.0,0.0,,27,100,48,2,266,5,1.4,0.3,0.8,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.15,0.06,0.1,0.6,0.3,0.0,159,2,30,0.2,1.0,0.0,3.0,7.6,0.1,0.3,73,27,0.9
حبوبات,نخود فرنگی خشک پخته,home,118,8.3,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,0.4,0.3,0.1,2.9999999999999996,0.0,0.0,,25,120,40,3,280,5,1.5,0.3,1.0,0.5,5.0,2,0.0,0,0.0,0,0.3,0.01,0.2,0.08,0.15,1.0,0.3,0.0,50,2,30,0.2,1.0,0.0,3.0,8.3,0.1,0.3,69,31,1.0
حبوبات,نخود پخته,home,164,8.9,0.6,0.25,0.4,0.1,0.2,0.7,0.6,0.5,0.8,0.35,0.1,0.45,,0.0,2.6,0.3,0.1,2.9999999999999996,0.0,0.0,,49,168,48,7,291,5,2.9,0.3,1.5,0.5,5.0,2,9.0,27,0.0,0,0.3,0.01,0.12,0.06,0.14,0.5,0.3,0.0,172,2,30,0.2,1.0,0.0,3.0,7.6,0.1,0.3,60,40,1.0
سبزیجات,اسفناج پخته,home,23,3.0,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.3,0.05,0.05,1.0,0.0,0.0,,136,56,87,70,466,30,3.6,0.05,0.8,0.2,1.0,2,3493.3333333333335,10480,0.0,0,0.5,0.05,0.09,0.24,0.24,0.5,0.3,0.0,146,1,10,1.5,1.0,0.0,1.5,2.4,0.01,0.02,91,9,1.7
سبزیجات,بادمجان پخته,home,35,0.8,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,6,15,11,1,123,30,0.2,0.05,0.1,0.2,1.0,2,6.666666666666667,20,0.0,0,0.5,0.01,0.03,0.02,0.07,0.5,0.3,0.0,14,1,10,1.5,1.0,0.0,1.5,2.5,0.01,0.02,90,10,0.6
سبزیجات,بروکلی پخته,home,35,2.4,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.4,0.05,0.05,1.0,0.0,0.0,,40,67,21,41,293,30,0.7,0.05,0.4,0.2,1.0,2,516.6666666666666,1550,0.0,0,0.5,0.01,0.06,0.12,0.18,0.6,0.3,0.0,108,1,10,1.5,1.0,0.0,1.5,3.3,0.01,0.02,89,11,0.9
سبزیجات,جعفری,home,36,3.0,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.8,0.05,0.05,1.0,0.0,0.0,,138,58,50,56,554,30,6.2,0.05,1.1,0.2,1.0,2,2808.0,8424,0.0,0,0.5,0.01,0.09,0.1,0.09,1.3,0.3,0.0,152,1,10,1.5,1.0,0.0,1.5,3.3,0.01,0.02,88,12,1.5
سبزیجات,خیار,home,15,0.7,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.1,0.05,0.05,1.0,0.0,0.0,,16,24,13,2,147,30,0.3,0.05,0.2,0.2,1.0,2,35.0,105,0.0,0,0.5,0.01,0.03,0.03,0.04,0.1,0.3,0.0,7,1,10,1.5,1.0,0.0,1.5,0.5,0.01,0.02,95,5,0.4
سبزیجات,سیب زمینی سفید پخته,home,87,1.9,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.1,0.05,0.05,1.0,0.0,0.0,,12,57,22,5,407,30,0.8,0.05,0.3,0.2,1.0,2,0.0,0,0.0,0,0.5,0.01,0.08,0.03,0.27,1.4,0.3,0.0,16,1,10,1.5,1.0,0.0,1.5,1.8,0.01,0.02,77,23,1.0
سبزیجات,سیب زمینی شیرین پخته,home,76,1.4,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.1,0.05,0.05,1.0,0.0,0.0,,27,32,18,27,230,30,0.6,0.05,0.2,0.2,1.0,2,4729.0,14187,0.0,0,0.5,0.01,0.08,0.06,0.17,0.6,0.3,0.0,6,1,10,1.5,1.0,0.0,1.5,2.5,0.01,0.02,77,23,0.7
سبزیجات,سیر پخته,home,149,6.4,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.5,0.05,0.05,1.0,0.0,0.0,,30,150,20,10,200,30,1.0,0.05,1.0,0.2,1.0,2,0.0,0,0.0,0,0.5,0.01,0.15,0.1,0.8,0.5,0.3,0.0,3,1,10,1.5,1.0,0.0,1.5,2.1,0.01,0.02,63,37,1.5
سبزیجات,شوید,home,43,3.5,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,1.1,0.05,0.05,1.0,0.0,0.0,,208,66,55,61,738,30,6.6,0.05,0.9,0.2,1.0,2,2572.3333333333335,7717,0.0,0,0.5,0.01,0.1,0.3,0.19,1.6,0.3,0.0,150,1,10,1.5,1.0,0.0,1.5,2.1,0.01,0.02,86,14,2.0
سبزیجات,فلفل دلمه‌ای پخته,home,28,0.9,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,7,16,9,2,166,30,0.3,0.05,0.1,0.2,1.0,2,666.6666666666666,2000,0.0,0,0.5,0.01,0.04,0.03,0.15,0.6,0.3,0.0,15,1,10,1.5,1.0,0.0,1.5,1.5,0.01,0.02,92,8,0.4
سبزیجات,قارچ دکمه‌ای پخته,home,28,2.2,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.3,0.05,0.05,1.0,0.0,0.0,,3,85,9,2,315,30,0.5,0.05,0.5,0.2,1.0,2,0.0,0,0.0,0,0.5,0.01,0.07,0.3,0.08,3.5,0.3,0.0,15,1,10,1.5,1.0,0.0,1.5,1.0,0.01,0.02,91,9,0.9
سبزیجات,لوبیا سبز پخته,home,35,1.9,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.3,0.05,0.05,1.0,0.0,0.0,,44,29,18,1,146,30,0.7,0.05,0.2,0.2,1.0,2,230.0,690,0.0,0,0.5,0.01,0.07,0.1,0.06,0.6,0.3,0.0,33,1,10,1.5,1.0,0.0,1.5,3.4,0.01,0.02,89,11,0.7
سبزیجات,نخود فرنگی پخته,home,84,5.4,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,27,117,33,3,271,30,1.5,0.05,1.2,0.2,1.0,2,255.0,765,0.0,0,0.5,0.01,0.26,0.15,0.17,2.1,0.3,0.0,63,1,10,1.5,1.0,0.0,1.5,5.5,0.01,0.02,78,22,0.9
سبزیجات,هویج خام,home,41,0.9,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,33,35,12,69,320,30,0.3,0.05,0.2,0.2,1.0,2,5568.666666666667,16706,0.0,0,0.5,0.01,0.07,0.06,0.14,1.0,0.3,0.0,19,1,10,1.5,1.0,0.0,1.5,2.8,0.01,0.02,88,12,0.7
سبزیجات,هویج پخته,home,35,0.8,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,30,30,10,58,235,30,0.3,0.05,0.2,0.2,1.0,2,5666.666666666667,17000,0.0,0,0.5,0.01,0.04,0.04,0.14,0.6,0.3,0.0,14,1,10,1.5,1.0,0.0,1.5,3.0,0.01,0.02,89,11,0.7
سبزیجات,پیاز پخته,home,44,1.4,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,20,30,10,5,140,30,0.2,0.05,0.2,0.2,1.0,2,0.0,0,0.0,0,0.5,0.01,0.04,0.02,0.1,0.2,0.3,0.0,15,1,10,1.5,1.0,0.0,1.5,1.4,0.01,0.02,89,11,0.6
سبزیجات,چغندر پخته,home,44,1.7,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,16,38,22,65,305,30,0.8,0.05,0.3,0.2,1.0,2,10.0,30,0.0,0,0.5,0.01,0.03,0.04,0.07,0.3,0.3,0.0,80,1,10,1.5,1.0,0.0,1.5,2.0,0.01,0.02,87,13,0.8
سبزیجات,کاهو,home,15,1.4,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,36,29,13,28,194,30,0.9,0.05,0.2,0.2,1.0,2,2468.3333333333335,7405,0.0,0,0.5,0.05,0.07,0.08,0.09,0.4,0.3,0.0,38,1,10,1.5,1.0,0.0,1.5,1.3,0.01,0.02,95,5,0.6
سبزیجات,کاهو رومی,home,17,1.2,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.3,0.05,0.05,1.0,0.0,0.0,,33,30,14,8,247,30,1.0,0.05,0.2,0.2,1.0,2,1933.3333333333333,5800,0.0,0,0.5,0.05,0.07,0.08,0.07,0.4,0.3,0.0,136,1,10,1.5,1.0,0.0,1.5,2.1,0.01,0.02,95,5,0.6
سبزیجات,کدو تنبل پخته,home,20,0.7,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.1,0.05,0.05,1.0,0.0,0.0,,15,22,9,1,230,30,0.4,0.05,0.2,0.2,1.0,2,1996.6666666666667,5990,0.0,0,0.5,0.01,0.03,0.06,0.06,0.4,0.3,0.0,9,1,10,1.5,1.0,0.0,1.5,0.5,0.01,0.02,94,6,0.6
سبزیجات,کدو سبز پخته,home,15,1.1,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,18,37,19,3,264,30,0.4,0.05,0.3,0.2,1.0,2,66.66666666666667,200,0.0,0,0.5,0.01,0.04,0.03,0.08,0.5,0.3,0.0,24,1,10,1.5,1.0,0.0,1.5,1.1,0.01,0.02,95,5,0.6
سبزیجات,کرفس پخته,home,18,0.7,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,40,20,10,50,260,30,0.2,0.05,0.1,0.2,1.0,2,66.66666666666667,200,0.0,0,0.5,0.01,0.02,0.03,0.07,0.3,0.3,0.0,20,1,10,1.5,1.0,0.0,1.5,1.6,0.01,0.02,94,6,0.6
سبزیجات,کلم بروکسل پخته,home,36,2.6,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.5,0.05,0.05,1.0,0.0,0.0,,36,56,20,21,317,30,1.2,0.05,0.3,0.2,1.0,2,258.3333333333333,775,0.0,0,0.5,0.05,0.11,0.08,0.18,0.6,0.3,0.0,60,1,10,1.5,1.0,0.0,1.5,2.6,0.01,0.02,89,11,0.9
سبزیجات,کلم بروکلی خام,home,34,2.8,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.4,0.05,0.05,1.0,0.0,0.0,,47,66,21,33,316,30,0.7,0.05,0.4,0.2,1.0,2,207.66666666666666,623,0.0,0,0.5,0.05,0.07,0.12,0.18,0.6,0.3,0.0,63,1,10,1.5,1.0,0.0,1.5,2.6,0.01,0.02,89,11,0.9
